strong	lemma	description_en	description_ja
2577	κάμνω	2   κάμνω,    [in LXX: Jb 10:1 (קוּט ni.) 17:2, Wi 4:16 15:9, IV Mac 3:8   7:13*;]      to work; hence, from the effect of continued work,     to be weary: He 12:3.     to be sick: Ja 5:15.†	【語義】覆う（< 語源）。【七十人訳】主に כָּסָה pi. に対応。【用法】①字義的に「覆う」：（acc. pers.）：ルカ 23:30；（acc. rei＋dat.）：ルカ 8:16；受動：マタ 8:24；②比喩的に「覆い隠す、秘める」：完了受動分詞：マタ 10:26、コリ二 4:3；罪の赦しについて（詩 32:5、85:2 を背景に）：ペテ一 4:8、ヤコ 5:20。
2578	κάμπτω	4   κάμπτω,    [in LXX chiefly for כּרע, IV Ki 1:13, II Ch 29:29, Is 45:24(23), al.;]    to bend, bow: c. acc. rei, γόνυ, τὰ γ.; c. dat. pers., τῇ Βάαλ, Ro 11:4(LXX); πρὸς τ. πατέρα, Eph 3:14; by meton., πᾶν γόνυ for πᾶς, Ro 14:11(LXX), Phl 2:10 (cf. ἀνα-, συν-κάμπτω).†	【語義】立派に、正しく、良く（< καλός）。【新約用例】ルカ 6:48、コリ一 14:17、ガラ 4:17、5:7、ヤコ 2:3；λέγειν、λαλεῖν 等の動詞とともに：マタ 15:7、マコ 7:6、12:28、ルカ 6:26、20:39、ヨハ 4:17、8:48、13:13、18:23、使 28:25；賛意の感嘆として：マコ 12:32、ロマ 11:20；κ. ποιεῖν「善い行いをする」：マタ 12:12、コリ一 7:37、38、ヤコ 2:8、19；（dat. pers.）：ルカ 6:27；分詞を伴って：使 10:33、ピリ 4:14、ペテ二 1:19、ヨハ三 6；προϊστάναι、διακονεῖν、ἀνατρέφεσθαι とともに：テモ一 3:4、12、5:17、13、ヘブ 13:18；皮肉な用法：マコ 7:9、コリ二 11:4；κ. ἔχειν「良くなる」：マコ 16:18；比較級 κάλλιον「実によく」：使 25:10。
2579	κἄν	17   κἄν,   by crasis for καὶ ἄν (= ἐάν; WH, App., 145b; Thayer, s.v.), c. subjunc.,   and if: Mk 16:[18], Lk 12:38, Jo 8:55, I Co 13:2, 3, Ja 5:15; c. ellips., Lk 13:9.     Concessive, even if: Mt 21:21 26:35, Jo 8:14 10:38 11:25, He 12:20.     As intensive of simple καί (M, Pr., 167; WM, 730; Jannaris, Gr., 598), even, at least: Mk 5:28 6:56, Ac 5:15, II Co 11:16.†	【語義】らくだ（< 語源）。【七十人訳】主に גָּמַל に対応。【新約用例】マタ 3:4、マコ 1:6；ことわざ的用法：マタ 19:24、23:24、マコ 10:25、ルカ 18:25。
2580	Κανά	4   Κανά (Rec. -νᾶ), ἡ, indecl.,     Cana, of Galilee: Jo 2:1, 11 4:46 21:2.†	【語義】炉、かまど（< 語源）。【七十人訳】創 19:28、出 19:18 等。【新約用例】マタ 13:42、50、黙 1:15、9:2。
2581	Καναναῖος	2 (KJV) Καναναῖος, -ου, ὁ    (late Heb. קַנְאָנָא),      a Cananæan or Zealot (cf. ζηλωτής): Mt 10:4, Mk 3:18 (Rec. -νίτης).†	【語義】目を閉じる（καταμύω の縮約形）。【新約用例】τ. ὀφθαλμούς：マタ 13:15、使 28:27（イザ 6:10 の引用）。
2582	Κανδάκη	1   Κανδάκη, -ης, ἡ,     Candace: Ac 8:27.†	【語義】（原義）働く；そこから派生して①「疲れる」：ヘブ 12:3；②「病気である」：ヤコ 5:15。
2583	κανών	4   κανών, -όνος, ὁ    (cf. κάννα, and Heb. קָנֶה, a reed),   [in LXX: Mi 7:4, Jth 13:6, IV Mac 7:21 (and in Aq., Ps 18 (19):5, Jb 38:5)*;]      a rod or bar (Jth 13:6).     a measuring rule; hence, metaph,     a rule or standard: Ga 6:16.   a limit (RV, province): II Co 10:13, 15, 16. (For the history of the word and esp. its later meanings, v. Westc., Canon, App. A; cf. also MM, Exp., xv; Cremer, 744.)†	【語義】曲げる、ひざまずく（< 語源）。【七十人訳】主に כָּרַע に対応。【新約用例】（acc. rei）γόνυ「ひざを曲げる」；（dat. pers.）τῇ Βάαλ「バアルに（ひざをかがめる）」：ロマ 11:4（引用）；πρὸς τ. πατέρα「父に対してひざをかがめる」：エペ 3:14；転義的に πᾶν γόνυ で πᾶς を表す：ロマ 14:11（引用）、ピリ 2:10。
2585	καπηλεύω	1   * καπηλεύω    (< κάπηλος, a huckster, cf. Is 1:22(LXX), Si 26:29),    to make a trade of (RV, mg., make merchandise of), or perhaps (cf. Is 1:22(LXX)) to corrupt (RV, txt.): II Co 2:17.†	【語義】そしてもし、〜であっても（καὶ ἄν の縮約、＝ ἐάν）。【用法】①「そしてもし」（接続法を伴う）：マコ 16:18、ルカ 12:38、ヨハ 8:55、コリ一 13:2、3、ヤコ 5:15；省略構文：ルカ 13:9；②譯歩的に「たとえ〜でも」：マタ 21:21、26:35、ヨハ 8:14、10:38、11:25、ヘブ 12:20；③単純な καί の強調として「せめて、少なくとも」：マコ 5:28、6:56、使 5:15、コリ二 11:16。
2586	καπνός	13   καπνός, -οῦ, ὁ,    [in LXX for עָשָׁן;]    smoke: Re 8:4 9:2, 3, 17, 18 14:11 15:8 18:9, 18 19:3; ἀτμὶς καπνοῦ, Ac 2:19(LXX).†	【地名】カナ（ガリラヤの村）：ヨハ 2:1、11、4:46、21:2。
2587	Καππαδοκία	2   Καππαδοκία, -ας, ἡ,     Cappadocia, a province of Asia Minor: Ac 2:9, I Pe 1:1.†	【語義】カナナイ人、熱心党員（ζηλωτής を参照；後代ヘブライ語 קַנְאָנָא より）。【新約用例】マタ 10:4、マコ 3:18。
2588	καρδία	156   καρδία, -ας, ἡ,    [in LXX chiefly for לֵב, לֵבָב;]    the heart,     the bodily organ which is regarded as the seat of life (II Ki 18:14, IV Ki 9:24, al.).     In a psychological sense, the seat of man's collective energies, the focus of personal life, the seat of the rational as well as the emotional and volitional elements in human life, hence that wherein lies the moral and religious condition of the man (DB, ii, 317 f.; DGG, ii, 344a);       of the seat of physical life (Jg 19:5, Ps 101 (102):5 103 (104):15): Ac 14:17, Ja 5:5;       of the seat of spiritual life: Mt 5:8, Mk 7:19, Lk 1:51, Ac 5:3, Ro 10:9, 10, Eph 6:5, al.; pl., Mt 9:4, Mk 2:6, al.; opp. to στόμα, χείλεα, πρόσωπον, Mt 15:8, Mk 7:6, Ro 10:8, 9, II Co 5:12; περιτομὴ καρδίας, Ro 2:29; ἐκ κ., Ro 6:17, I Pe 1:22; ἀπὸ τῶν κ., Mt 18:35; ἐν ὅλῃ (ἐξ ὅλης), Mt 22:37, Mk 12:30(LXX); γινώσκειν (ἐρευνᾶν, δοκιμάζειν) τὰς κ., Lk 16:15, Ro 8:27, I Th 2:4; to think, etc., ἐν τ. κ., Mt 9:4, Mk 2:6, Lk 12:45, Ro 10:6; συνιέναι (νοεῖν) τῇ κ., Mt 13:15, Jo 12:40; ἐπαχύνθη ἡ κ., Mt 13:15(LXX); πωροῦν τὴν κ., Jo 12:40; κ. εὐθεῖα, Ac 8:21;         πονηρά, He 3:12; ἀμετανόητος, Ro 2:5; εἶναι (ἔχειν) ἐν τῇ κ., II Co 7:3, Phl 1:7; ὀδύνη τῇ κ., Ro 9:2.          Of the central or innermost part of anything (of the pith of wood, Arist.): τ. γῆς, Mt 12:40 (Cremer, 343 ff.).	【人物】カンダケ（エチオピアの女王の称号）：使 8:27。
2589	καρδιογνώστης	2   *† καρδιο-γνώστης, -ου, ὁ    (< καρδία, γνώστης),    knower of hearts: Ac 1:24 15:8.†	【語義】（原義）杖、棒；測りの基準、規範；（比喩的に）規則・標準；（また）限界、範囲（< κάννα、ヘブライ語 קָנֶה「葦」と関連）。【新約用例】①「規範、標準」：ガラ 6:16；②「限界、範囲」：コリ二 10:13、15、16。
2591	Κάρπος	1   Κάρπος, -ου, ὁ     Carpus: II Ti 4:13.†	【語義】商売の道具にする、利益のために売り渡す；あるいは（イザ 1:22 を背景に）「水増しする、不純にする」（< κάπηλος「小商人」）。【新約用例】コリ二 2:17（「神の言葉を売り物にする」）。
2590	καρπός	66   καρπός, -οῦ, ὁ,    [in LXX chiefly for פְּרִי;]    fruit: of trees, Mt 12:33 21:19, Mk 11:14, Lk 6:44 13:6, 7; of vines, Mt 21:34, Mk 12:2, Lk 20:10, I Co 9:7; of fields, Mk 4:29, Lk 12:17, II Ti 2:6, Ja 5:7; βλαστάνειν, Ja 5:18; ποιεῖν (cf. Heb. עָשָׂה פְּרִי), Mt 3:10 7:17-19 13:26, Lk 3:9 6:43 8:8 13:9, Re 22:2; διδόναι, Mt 13:8, Mk 4:7, 8; φέρειν, Mt 7:18, Jo 12:24 15:2, 4, 5, 8, 16; ἀποδιδόναι, Mt 21:41, Re 22:2; ὁ κ. τ. κοιλίας (פְּרִי בֶּטֶן, De 28:4), Lk 1:42; τ. ὀσφύος (Ge 30:2, al.), Ac 2:30.     Metaph.,      of works, deeds: Mt 3:8 7:16, 20 21:43, Lk 3:8, Jo 15:8, 16; τ. πνεύματος, Ga 5:22; τ. φωτός, Eph 5:9; τ. δικαιοσύνης, Phl 1:11; σφραγίζεσθαι τὸν κ. (Deiss., BS, 238 f.), Ro 15:28; κ. ἀγαθοί, Ja 3:17;     of advantage, profit: Phl 1:22 4:17; ἔχειν, Ro 1:13 6:21, 22; συνάγειν, Jo 4:36; κ. τ. δικαιοσύνης, He 12:11, Ja 3:18; of praise, καρπὸν χειλέων (Ho 14:2, al.; cf. Æsch., Eum., 830): He 13:15.†	【語義】煙（< 語源）。【七十人訳】主に עָשָׁן に対応。【新約用例】黙 8:4、9:2、3、17、18、14:11、15:8、18:9、18、19:3；ἀτμὶς καπνοῦ「煙の柱」：使 2:19（引用）。
2592	καρποφορέω	8   καρπο-φορέω, -ῶ,    [in LXX: Hb 3:17 (פּרח), Wi 10:7*;]    to bear fruit: χόρτον, Mk 4:28 (cf. Wi 10:7). Metaph., of conduct: Mt 13:23, Mk 4:20, Lk 8:15, Ro 7:4, 5, Col 1:10; mid., Col 1:6.†	【地名】カパドキヤ（小アジアの州）：使 2:9、ペテ一 1:1。
2593	καρποφόρος	1   καρπο-φόρος, -ον    (< καρπύς, φέρω),   [in LXX: Je 2:21 (זֶרַע), Ps 106 (107):34 148:9 (פְּרִי)*;]    fruitful: Ac 14:17.†	【語義】心臓、心（< 語源）。【七十人訳】主に לֵב、לֵבָב に対応。【用法】①身体的な生命の座としての「心臓」：使 14:17、ヤコ 5:5；②心理的な意味で、人格の総合的な座、理性・感情・意志の座、道徳的・宗教的状態の座：マタ 5:8、マコ 7:19、ルカ 1:51、使 5:3、ロマ 10:9、10、エペ 6:5；複数形：マタ 9:4、マコ 2:6；στόμα、χείλεα、πρόσωπον と対比：マタ 15:8、マコ 7:6、ロマ 10:8、9、コリ二 5:12；περιτομὴ καρδίας「心の割礼」：ロマ 2:29；ἐκ κ.「心から」：ロマ 6:17、ペテ一 1:22；ἀπὸ τῶν κ.「心の底から」：マタ 18:35；ἐν ὅλῃ（ἐξ ὅλης）「心を尽くして」：マタ 22:37、マコ 12:30（引用）；γινώσκειν（ἐρευνᾶν、δοκιμάζειν）τὰς κ.「心を知る・探る・調べる」：ルカ 16:15、ロマ 8:27、テサ一 2:4；ἐν τ. κ.「心の中で（考える）」：マタ 9:4、マコ 2:6、ルカ 12:45、ロマ 10:6；συνιέναι（νοεῖν）τῇ κ.「心で理解する」：マタ 13:15、ヨハ 12:40；ἐπαχύνθη ἡ κ.「心が鈍くなる」：マタ 13:15（引用）；πωροῦν τὴν κ.「心をかたくなにする」：ヨハ 12:40；κ. εὐθεῖα「正しい心」：使 8:21；πονηρά「悪い心」：ヘブ 3:12；ἀμετανόητος「悔い改めのない心」：ロマ 2:5；εἶναι（ἔχειν）ἐν τῇ κ.「心にある」：コリ二 7:3、ピリ 1:7；ὀδύνη τῇ κ.「心の痛み」：ロマ 9:2；③物の中心・核心部分について（木の芯の意の古典用法から）：τ. γῆς「地の中心」：マタ 12:40。
2594	καρτερέω	1   καρτερέω, -ῶ,    [in LXX: Jb 2:9 (חזק hi.), Is 42:14 (פּעה), Si 2:2 12:15, II, IV Mac7*;]    to be steadfast, patient: He 11:27 (cf. προσ-καρτερέω).†	【語義】心を知る者（< καρδία＋γνώστης）。【新約用例】使 1:24、15:8。
2595	κάρφος	6   κάρφος, -εος (-ους) τό,    [in LXX: Ge 8:11 (טָרָף)*;]    a small dry stalk, a twig; metaph., of a minor fault: Mt 7:3-5, Lk 6:41, 42.†	【人物】カルポ：テモ二 4:13。
2596	κατά	473   κατά (bef. a vowel κατ’, καθ’; on the freq. neglect of elision, v. Tdf., Pr., 95; WH, App., 146a),   prep. c. gen., acc.,   down, downwards.     C. gen. (WM, § 47, k; Bl., § 42, 2).       C. gen. rei, in local sense;         down, down from: Mt 8:32, Mk 5:13, Lk 8:33, I Co 11:4;         throughout (late usage; Bl., § 42, 2): κ. ὅλης κ.τ.λ., Lk 4:14 23:5, Ac 9:31 10:37;         in a peculiar adjectival phrase: ἡ κ. βάθους πτωχεία, deep or extreme poverty, II Co 8:2.              C. gen. pers., usually in hostile sense;         against (in cl. only after verbs of speaking, witnessing, etc.): opp. to ὑπέρ, Mk 9:40; μετά, Mt 12:30; after ἐπιθυμεῖν, Ga 5:17; λαλεῖν, Ac 6:13; διδάσκειν, Ac 21:28; ψεύδεσθαι, Ja 3:14; after verbs of accusing, etc., Mt 5:23, Lk 23:14, Ro 8:33, al.; verbs of fighting, prevailing, etc., Mt 10:35, Ac 14:2, I Co 4:6, al.;         of swearing, by: ὄμνυμι κ. (Bl., § 34, 1), He 6:13, 16, cf. Mt 26:63.                 C. acc. (WM, § 49 d; Bl., § 42, 2).       Of motion or direction;         through, throughout: Lk 8:39 9:6 10:4, Ac 8:1, 36, al.;         to, towards, over against: Lk 10:32 (Field, Notes, 62), Ac 2:10 16:7, Ga 2:11, Phl 3:14, al.;         in adverbial phrases, at, in, by, of: κατ’ οἶκον, at home, Ac 2:46; κατ’ ἰδίαν (v.s. ἴδιος); καθ’ ἑαυτόν, Ac 28:16, Ro 14:22, Ja 2:17; c. pron. pers., Ac 17:28 18:15, Ro 1:15, Eph 1:15, al.              Of time, at, during, about: Ac 8:26 12:1 19:23, Ro 9:9, He 1:10, al.       Distributive;         of place: κ. τόποὐς, Mt 24:7, al.; κ. πόλιν, Lk 8:1, 4, al.; κ. ἐκκλησίαν, Ac 14:23;         of time: κ. ἔτος, Lk 2:41; ἑορτήν, Mt 27:15, al.;         of numbers, etc.: καθ’ ἕνα πάντες, I Co 14:31 (on καθ’ εἷς, v.s. εἷς); κ. ἑκατόν, Mk 6:40; κ. μέρος, He 9:5; κ. ὄνομα, Jo 10:3.              Of fitness, reference, conformity, etc.;         in relation to, concerning: Ro 1:3, 4 7:22 9:3, 5, I Co 1:26 10:18, Phl 1:12; κ. πάντα, Ac 17:22, Col 3:20, 22, He 2:17 4:15;         according to, after, like: Mk 7:5, Lk 2:27, 29, Jo 7:24, Ro 8:4 14:15, Eph 2:2, Col 2:8, Ja 2:8, al.                 In composition, κ. denotes,       down, down from (καταβαίνω, etc.), hence, metaph.;         victory or rule over (καταδουλόω, -κυριεύω, etc.);         "perfective" action (M, Pr., 111 ff.).              under (κατακαλύπτω, etc.).       in succession (καθεξῆς).       after, behind (καταλείπω).       Hostility, against (καταλαλέω).	【語義】実、果実（< 語源）。【七十人訳】主に פְּרִי に対応。【用法】①字義的に：木の実：マタ 12:33、21:19、マコ 11:14、ルカ 6:44、13:6、7；ぶどうの実：マタ 21:34、マコ 12:2、ルカ 20:10、コリ一 9:7；畑の実：マコ 4:29、ルカ 12:17、テモ二 2:6、ヤコ 5:7；βλαστάνειν「芽を出して実を結ぶ」：ヤコ 5:18；ποιεῖν「実を結ぶ」（ヘブライ語的表現）：マタ 3:10、7:17–19、13:26、ルカ 3:9、6:43、8:8、13:9、黙 22:2；διδόναι、φέρειν、ἀποδιδόναι 等の動詞とともに：マタ 13:8、マコ 4:7、8、マタ 7:18、ヨハ 12:24、15:2、4、5、8、16、マタ 21:41、黙 22:2；ὁ κ. τ. κοιλίας「胎の実」（申 28:4 を背景に）：ルカ 1:42；τ. ὀσφύος「腰の実（子孫）」：使 2:30；②比喩的に：行いについて：マタ 3:8、7:16、20、21:43、ルカ 3:8、ヨハ 15:8、16；τ. πνεύματος「御霊の実」：ガラ 5:22；τ. φωτός：エペ 5:9；τ. δικαιοσύνης：ピリ 1:11；σφραγίζεσθαι τὸν κ.「実に証印を押す」：ロマ 15:28；κ. ἀγαθοί「良い実」：ヤコ 3:17；利益・益について：ピリ 1:22、4:17；ἔχειν、συνάγειν：ロマ 1:13、6:21、22、ヨハ 4:36；κ. τ. δικαιοσύνης「義の実」：ヘブ 12:11、ヤコ 3:18；賛美について：καρπὸν χειλέων「くちびるの実」：ヘブ 13:15。
2597	καταβαίνω	81   κατα-βαίνω,    [in LXX chiefly for ירד;]      to go or come down, descend.       Of persons: Mt 3:16 24:17, Lk 2:51 6:17 10:31 17:31 19:5, 6, Jo 4:47, 49, 51 5:7, Ac 7:34 8:15 10:20 20:10 23:10 24:1, 22, Eph 4:10; seq. ἀπό, Mt 8:1 14:29 27:40, 42, Mk 3:22 15:30, Lk 10:30, Jo 6:38, Ac 25:7, I Th 4:16; ἐκ, Mt 17:9; ἐκ τ. οὐρανοῦ, Mt 28:2, Mk 9:9, Jo 1:32 3:13 6:33, 41, 42, 6:50, 51, 58, Re 10:1 18:1 20:1; εἰς, Mk 1:10, Lk 10:30 18:14, Jo 2:12, Ac 7:15 8:38 14:25 16:8 18:22 25:6, Ro 10:7, Eph 4:9; ἐπί, c. acc. loc., Jo 6:16; c. acc. pers., Lk 3:22, Jo 1:33, 52; ἐν, Jo 5:[4]; πρός, c. acc. pers., Ac 10:21 14:11, Re 12:12.     Of things: σκεῦος, Ac 10:11 11:5; βροχή, Mt 7:25, 27; λαῖλαψ, Lk 8:23; seq. ἀπό, Lk 9:54, Ac 8:26, Ja 1:17; ἐπὶ τ. γῆν, Lk 22:44 (WH, R, mg., reject); ἐκ τ. οὐρανοῦ seq. ἀπό, Re 3:12 21:2, 10; id. seq. εἰς, Re 13:13; ἐπί, c. acc. pers., Re 16:21. Fig., κ. ἕως ᾅδου, Mt 11:23, Lk 10:15, WH, txt., Tr., mg. (καταβιβασθήση, T, WH, mg., RV), (cf. συν-καταβαίνω).†	【語義】実を結ぶ（< καρπός＋φέρω）。【新約用例】χόρτον「（地が）草を生じる」：マコ 4:28；比喩的に、行いについて：マタ 13:23、マコ 4:20、ルカ 8:15、ロマ 7:4、5、コロ 1:10；中間態：コロ 1:6。
2598	καταβάλλω	2   κατα-βάλλω,    [in LXX chiefly for נפל hi.;]      to cast down, prostrate: metaph., pass., II Co 4:9.     to put down, lay down: metaph., mid., c. acc., θεμέλιον, He 6:1.†	【語義】実を結ぶ、豊かな（< καρπός＋φέρω）。【新約用例】使 14:17。
2599	καταβαρέω	1   *† κατα-βαρέω, -ῶ,     to weigh down: metaph., c. acc. pers., II Co 12:16.†	【語義】堅く立つ、忍耐する（< 語源）。【新約用例】ヘブ 11:27。
2600	καταβαρύνω	1 † κατα-βαρύνω,    [in LXX: II Ki 13:25 14:26 (כּבד), Jl 2:8, Si 8:15*;]    = καταβαρέω: pass., pres. ptcp., Mk 14:40.†	【語義】小さな乾いた茎、小枝；比喩的に小さな欠点（< 語源）。【新約用例】マタ 7:3–5、ルカ 6:41、42。
2601	καταβιβάζω	2   κατα-βιβάζω,    [in LXX for ירד (hi., etc.): De 21:4, Ez 31:16, al.;]    to cause to go down, cast down: pass., ἕως ᾅδου, Mt 11:23 (WH, R, mg.), Lk 10:15 (WH, mg.).†	【語義】下へ、下方へ（前置詞；属格・対格を支配；< 語源）。【用法】①属格を伴う場合：（ⅰ）場所的に「〜から下へ」：マタ 8:32、マコ 5:13、ルカ 8:33、コリ一 11:4；「〜の全体にわたって」（後代の用法）：ルカ 4:14、23:5、使 9:31、10:37；ἡ κ. βάθους πτωχεία「極度の貧しさ」：コリ二 8:2；（ⅱ）人に対して、通常敵対的に「〜に対して」：ὑπέρ、μετά と対比：マコ 9:40、マタ 12:30；ἐπιθυμεῖν、λαλεῖν、διδάσκειν、ψεύδεσθαι 等の動詞とともに：ガラ 5:17、使 6:13、21:28、ヤコ 3:14；告発・争いの動詞とともに：マタ 5:23、ルカ 23:14、ロマ 8:33、マタ 10:35、使 14:2、コリ一 4:6；誓いを表す「〜にかけて」：ヘブ 6:13、16、マタ 26:63；②対格を伴う場合：（ⅰ）運動・方向「〜を通って、〜の方へ」：ルカ 8:39、9:6、10:4、使 8:1、36、ルカ 10:32、使 2:10、16:7、ガラ 2:11、ピリ 3:14；副詞的用法：κατ’ οἶκον「家で」：使 2:46；κατ’ ἰδίαν（→ ἴδιος 参照）；καθ’ ἑαυτόν「自分だけで」：使 28:16、ロマ 14:22、ヤコ 2:17；（ⅱ）時を表す「〜の頃、〜の間」：使 8:26、12:1、19:23、ロマ 9:9、ヘブ 1:10；（ⅲ）配分的用法：場所について κ. τόπους、κ. πόλιν、κ. ἐκκλησίαν；時について κ. ἔτος、κ. ἑορτήν；数について καθ’ ἕνα πάντες「一人ひとり」：コリ一 14:31；κ. ἑκατόν：マコ 6:40；κ. μέρος：ヘブ 9:5；κ. ὄνομα「名によって」：ヨハ 10:3；（ⅳ）適合・関連を表す「〜に関して、〜に従って」：ロマ 1:3、4、7:22、9:3、5、コリ一 1:26、10:18、ピリ 1:12；κ. πάντα「すべてにおいて」：使 17:22、コロ 3:20、22、ヘブ 2:17、4:15；「〜に従って、〜のように」：マコ 7:5、ルカ 2:27、29、ヨハ 7:24、ロマ 8:4、14:15、エペ 2:2、コロ 2:8、ヤコ 2:8。複合語においては「下へ」（καταβαίνω 等）、転じて「打ち勝つ・支配」（καταδουλόω 等）、「完成的」action、「下に」（κατακαλύπτω）、「継続して」（καθεξῆς）、「後に」（καταλείπω）、「敵対」（καταλαλέω）等の意味を加える。
2602	καταβολή	11   ** κατα-βολή, -ῆς, ἡ    (< καταβάλλω),   [in LXX: II Mac 2:29*;]      a laying down: εἰς κ. σπέρματος, He 11:11 (EV, to conceive seed).     a foundation (of a house, II Mac 2:29): metaph., ἀπὸ κ. κόσμου, Mt 13:35(LXX) (om. κόσμου, WH, R, mg.), Mt 25:34, Lk 11:50, He 4:3 9:26, Re 13:8 17:8; πρὸ κ. κόσμου, Jo 17:24, Eph 1:4, I Pe 1:20.†	【語義】下る、降りてくる（< 語源）。【七十人訳】主に יָרַד に対応。【用法】①人について：マタ 3:16、24:17、ルカ 2:51、6:17、10:31、17:31、19:5、6、ヨハ 4:47、49、51、5:7、使 7:34、8:15、10:20、20:10、23:10、24:1、22、エペ 4:10；各種前置詞句を伴う（ἀπό、ἐκ、ἐκ τ. οὐρανοῦ、εἰς、ἐπί、ἐν、πρός）：マタ 8:1、14:29、27:40、42、マコ 3:22、15:30、ルカ 10:30、ヨハ 6:38、使 25:7、テサ一 4:16、マタ 17:9、28:2、マコ 9:9、ヨハ 1:32、3:13、6:33、41、42、50、51、58、黙 10:1、18:1、20:1、マコ 1:10、ルカ 10:30、18:14、ヨハ 2:12、使 7:15、8:38、14:25、16:8、18:22、25:6、ロマ 10:7、エペ 4:9、ヨハ 6:16、ルカ 3:22、ヨハ 1:33、52、使 10:21、14:11、黙 12:12；②物について：σκεῦος「器」：使 10:11、11:5；βροχή「雨」：マタ 7:25、27；λαῖλαψ「突風」：ルカ 8:23；天からのものについて：黙 3:12、21:2、10、13:13、16:21；比喩的に κ. ἕως ᾅδου「ハデスまで下る」：マタ 11:23、ルカ 10:15。
2603	καταβραβεύω	1   * κατα-βραβεύω    (< βραβεύς, an umpire, cf. βραβεῖον),    to give judgment against, condemn (v. Field, Notes, 196; Abbott, Essays, 104 f.): Col 2:18.†	【語義】①打ち倒す、ひれ伏させる：比喩的に受動：コリ二 4:9；②下に置く、据える：比喩的に中間態（acc.）θεμέλιον「基礎を据える」：ヘブ 6:1。
2604	καταγγελεύς	1   † καταγγελεύς, -έως, ὁ,     a proclaimer, herald (in Inscr., κ. ἀγώνων, Deiss., LAE, 97): c. gen. obj., Ac 17:18.†	【語義】重荷を負わせる、圧迫する。【新約用例】比喩的に（acc. pers.）：コリ二 12:16。
2605	καταγγέλλω	18   κατ-αγγέλλω,    [in LXX: Pr 17:5 A, II Mac 8:36 Mac 9:17*;]    to proclaim, declare: c. acc. rei, Ac 3:24 16:21 17:23; τ. ἀνάστασιν, Ac 4:2; τ. λόγον τοῦ Θ., τ. Κ., Ac 13:5 15:36; ὁδὸν σωτηρίας, Ac 16:17; φῶς, Ac 26:23; τ. μυστήριον τοῦ Θ., I Co 2:1; τ. εὐαγγέλιον, 9:14; τ. θάνατον τοῦ Κ., 11:26; pass., ἄφεσις, Ac 13:38; ὁ λόγος τοῦ Θ., Ac 17:13; ἡ πίστις ὑμῶν, Ro 1:8; c. acc. pers., of Christ, ὅν, Ac 17:3, Col 1:28; τ. Χριστόν, Phl 1:17; pass., Phl 1:18.   to denounce (Xen., al.); (for comparison with ἀγγέλλω, ἀναγ-, ἀπαγ-, v. Westc. on I Jn 1:5; and cf. προ-καταγγέλλω).†	【語義】καταβαρέω に同じ「重くする」。【新約用例】受動現在分詞：マコ 14:40（「ひどく眠かった」）。
2606	καταγελάω	3   κατα-γελάω, -ῶ,    [in LXX chiefly for שׁחק, Jb 5:22, Pr 29:9, al.;]    to deride, laugh scornfully at: c. gen. pers., Mt 9:24, Mk 5:40, Lk 8:53.†	【語義】下らせる、投げ下す（< 語源）。【新約用例】受動：ἕως ᾅδου「ハデスまで」：マタ 11:23、ルカ 10:15。
2607	καταγινώσκω	3   κατα-γινώσκω    (v.s. γινώσκω),   [in LXX: De 25:1 (רשׁע hi.), Pr 28:11 (חקר), Si 14:2 19:5*;]    to blame, condemn: c. gen. pers., I Jn 3:20, 21; pass., κατεγνωσμένος ἦν (RV, he stood condemned, v. Ellie., in l.; but cf. Field, Notes, 188): Ga 2:11.†	【語義】（原義）下に置くこと（< καταβάλλω）。【用法】①「種をまくこと、はらむこと」：εἰς κ. σπέρματος：ヘブ 11:11；②「基礎、創設」：比喩的に ἀπὸ κ. κόσμου「世の基が置かれた時から」：マタ 13:35（引用）、25:34、ルカ 11:50、ヘブ 4:3、9:26、黙 13:8、17:8；πρὸ κ. κόσμου「世の基が置かれる前から」：ヨハ 17:24、エペ 1:4、ペテ一 1:20。
2608	κατάγνυμι	4   κατ-άγνυμι,    [in LXX for נחת pi., etc.;]    to break: c. acc. rei, Mt 12:20(LXX), Jo 19:31-33.†	【語義】不利な判定を下す、罪に定める（< βραβεύς「審判者」）。【新約用例】コロ 2:18。
2609	κατάγω	9   κατ-άγω,    [in LXX chiefly for ירד hi.;]    to bring down: c. acc. pers., Ac 22:30, Ro 10:6; id. seq. εἰς, Ac 9:30 23:15, 20, 28; as nautical term, to bring to land: τ. πλοῖον ἐπὶ τ. γῆν, Lk 5:11; pass., seq. εἰς, Ac 27:3 28:12.†	【語義】告げ知らせる者、宣べる者（< 語源）。【新約用例】（gen.）：使 17:18。
